order_id,order_date,product,category,region,quantity,price,revenue
1,2024-01-01,Product A,Electronics,North,1,100,100
2,2024-01-02,Product B,Clothing,South,2,200,400
3,2024-01-03,Product C,Electronics,East,3,150,450
4,2024-01-04,Product D,Home,West,4,300,1200
5,2024-01-05,Product A,Electronics,North,5,100,500
6,2024-01-06,Product B,Clothing,South,1,200,200
7,2024-01-07,Product C,Electronics,East,2,150,300
8,2024-01-08,Product D,Home,West,3,300,900
9,2024-01-09,Product A,Electronics,North,4,100,400
10,2024-01-10,Product B,Clothing,South,5,200,1000
11,2024-01-11,Product C,Electronics,East,1,150,150
12,2024-01-12,Product D,Home,West,2,300,600
13,2024-01-13,Product A,Electronics,North,3,100,300
14,2024-01-14,Product B,Clothing,South,4,200,800
15,2024-01-15,Product C,Electronics,East,5,150,750
16,2024-01-16,Product D,Home,West,1,300,300
17,2024-01-17,Product A,Electronics,North,2,100,200
18,2024-01-18,Product B,Clothing,South,3,200,600
19,2024-01-19,Product C,Electronics,East,4,150,600
20,2024-01-20,Product D,Home,West,5,300,1500
21,2024-01-21,Product A,Electronics,North,1,100,100
22,2024-01-22,Product B,Clothing,South,2,200,400
23,2024-01-23,Product C,Electronics,East,3,150,450
24,2024-01-24,Product D,Home,West,4,300,1200
25,2024-01-25,Product A,Electronics,North,5,100,500
26,2024-01-26,Product B,Clothing,South,1,200,200
27,2024-01-27,Product C,Electronics,East,2,150,300
28,2024-01-28,Product D,Home,West,3,300,900
29,2024-01-29,Product A,Electronics,North,4,100,400
30,2024-01-30,Product B,Clothing,South,5,200,1000
31,2024-01-31,Product C,Electronics,East,1,150,150
32,2024-02-01,Product D,Home,West,2,300,600
33,2024-02-02,Product A,Electronics,North,3,100,300
34,2024-02-03,Product B,Clothing,South,4,200,800
35,2024-02-04,Product C,Electronics,East,5,150,750
36,2024-02-05,Product D,Home,West,1,300,300
37,2024-02-06,Product A,Electronics,North,2,100,200
38,2024-02-07,Product B,Clothing,South,3,200,600
39,2024-02-08,Product C,Electronics,East,4,150,600
40,2024-02-09,Product D,Home,West,5,300,1500
41,2024-02-10,Product A,Electronics,North,1,100,100
42,2024-02-11,Product B,Clothing,South,2,200,400
43,2024-02-12,Product C,Electronics,East,3,150,450
44,2024-02-13,Product D,Home,West,4,300,1200
45,2024-02-14,Product A,Electronics,North,5,100,500
46,2024-02-15,Product B,Clothing,South,1,200,200
47,2024-02-16,Product C,Electronics,East,2,150,300
48,2024-02-17,Product D,Home,West,3,300,900
49,2024-02-18,Product A,Electronics,North,4,100,400
50,2024-02-19,Product B,Clothing,South,5,200,1000
51,2024-02-20,Product C,Electronics,East,1,150,150
52,2024-02-21,Product D,Home,West,2,300,600
53,2024-02-22,Product A,Electronics,North,3,100,300
54,2024-02-23,Product B,Clothing,South,4,200,800
55,2024-02-24,Product C,Electronics,East,5,150,750
56,2024-02-25,Product D,Home,West,1,300,300
57,2024-02-26,Product A,Electronics,North,2,100,200
58,2024-02-27,Product B,Clothing,South,3,200,600
59,2024-02-28,Product C,Electronics,East,4,150,600
60,2024-02-29,Product D,Home,West,5,300,1500
61,2024-03-01,Product A,Electronics,North,1,100,100
62,2024-03-02,Product B,Clothing,South,2,200,400
63,2024-03-03,Product C,Electronics,East,3,150,450
64,2024-03-04,Product D,Home,West,4,300,1200
65,2024-03-05,Product A,Electronics,North,5,100,500
66,2024-03-06,Product B,Clothing,South,1,200,200
67,2024-03-07,Product C,Electronics,East,2,150,300
68,2024-03-08,Product D,Home,West,3,300,900
69,2024-03-09,Product A,Electronics,North,4,100,400
70,2024-03-10,Product B,Clothing,South,5,200,1000
71,2024-03-11,Product C,Electronics,East,1,150,150
72,2024-03-12,Product D,Home,West,2,300,600
73,2024-03-13,Product A,Electronics,North,3,100,300
74,2024-03-14,Product B,Clothing,South,4,200,800
75,2024-03-15,Product C,Electronics,East,5,150,750
76,2024-03-16,Product D,Home,West,1,300,300
77,2024-03-17,Product A,Electronics,North,2,100,200
78,2024-03-18,Product B,Clothing,South,3,200,600
79,2024-03-19,Product C,Electronics,East,4,150,600
80,2024-03-20,Product D,Home,West,5,300,1500
81,2024-03-21,Product A,Electronics,North,1,100,100
82,2024-03-22,Product B,Clothing,South,2,200,400
83,2024-03-23,Product C,Electronics,East,3,150,450
84,2024-03-24,Product D,Home,West,4,300,1200
85,2024-03-25,Product A,Electronics,North,5,100,500
86,2024-03-26,Product B,Clothing,South,1,200,200
87,2024-03-27,Product C,Electronics,East,2,150,300
88,2024-03-28,Product D,Home,West,3,300,900
89,2024-03-29,Product A,Electronics,North,4,100,400
90,2024-03-30,Product B,Clothing,South,5,200,1000
91,2024-03-31,Product C,Electronics,East,1,150,150
92,2024-04-01,Product D,Home,West,2,300,600
93,2024-04-02,Product A,Electronics,North,3,100,300
94,2024-04-03,Product B,Clothing,South,4,200,800
95,2024-04-04,Product C,Electronics,East,5,150,750
96,2024-04-05,Product D,Home,West,1,300,300
97,2024-04-06,Product A,Electronics,North,2,100,200
98,2024-04-07,Product B,Clothing,South,3,200,600
99,2024-04-08,Product C,Electronics,East,4,150,600
100,2024-04-09,Product D,Home,West,5,300,1500
